both_out,f3_sec,fr_sec,inside_f3,inside_fr,inside_mismatch,iterations,max_abs_dsi,mean_abs_dsi,name,px_total,rms_dsi,status
40000,1.50s,8.36s,0,0,0,32000,707.3961,691.1321,e1000,40000,691.3015,ok
,6.48s,timeout 60.0s,,,,600100,,,e1086,,,fractall_fail
40000,0.64s,4.04s,0,0,0,41338,121.8644,119.1751,e1121,40000,119.1951,ok
40000,0.52s,14.68s,0,0,0,263010,15566.4530,107.7341,e50,40000,490.8043,ok
39726,0.15s,3.04s,255,250,43,275250,164489.9535,191.3166,glitch_test_1,40000,2480.5769,ok
40000,3.34s,55.93s,0,0,0,600100,4312.0292,1341.9806,olbaid1,40000,1652.8244,ok
,3.35s,timeout 60.0s,,,,400000,,,opus,,,fractall_fail
,timeout 60.0s,,,,,2147483647,,,seahorse,,,f3_fail
39989,0.09s,0.02s,9,2,11,1000,711.2399,10.4505,spiral,40000,44.7780,ok
40000,0.05s,0.52s,0,0,0,1000,41.8503,0.6549,test,40000,1.8618,ok
